,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,100,0.0,0.15,43
1,1,0,100,0.059090909090909,0.15,108
2,2,0,100,0.1181818181818181,0.15,106
3,3,0,100,0.1772727272727272,0.15,85
4,4,0,100,0.2363636363636363,0.15,106
5,5,0,100,0.2954545454545454,0.15,58
6,6,0,100,0.3545454545454545,0.15,67
7,7,0,15,0.4727272727272727,0.15,3
8,8,0,58,0.4136363636363636,0.15,3
9,9,0,13,0.5909090909090909,0.15,4
10,10,0,14,0.5318181818181819,0.15,5
11,11,0,13,0.65,0.15,11
12,12,1,100,0.0,0.15,48
13,13,1,100,0.059090909090909,0.15,101
14,14,1,100,0.1181818181818181,0.15,50
15,15,1,100,0.1772727272727272,0.15,77
16,16,1,100,0.2363636363636363,0.15,84
17,17,1,100,0.2954545454545454,0.15,164
18,18,1,100,0.3545454545454545,0.15,32
19,19,1,100,0.4136363636363636,0.15,20
20,20,1,99,0.4727272727272727,0.15,7
21,21,1,14,0.5909090909090909,0.15,14
22,22,1,13,0.65,0.15,1
23,23,1,74,0.5318181818181819,0.15,2
24,24,2,100,0.0,0.15,49
25,25,2,100,0.059090909090909,0.15,94
26,26,2,100,0.1181818181818181,0.15,90
27,27,2,100,0.1772727272727272,0.15,88
28,28,2,100,0.2363636363636363,0.15,53
29,29,2,100,0.2954545454545454,0.15,121
30,30,2,100,0.3545454545454545,0.15,133
31,31,2,100,0.4136363636363636,0.15,124
32,32,2,72,0.4727272727272727,0.15,42
33,33,2,14,0.5318181818181819,0.15,1
34,34,2,13,0.5909090909090909,0.15,7
35,35,2,12,0.65,0.15,11
36,36,3,100,0.0,0.15,51
37,37,3,100,0.059090909090909,0.15,113
38,38,3,100,0.1181818181818181,0.15,89
39,39,3,100,0.1772727272727272,0.15,59
40,40,3,100,0.2363636363636363,0.15,99
41,41,3,100,0.2954545454545454,0.15,26
42,42,3,100,0.3545454545454545,0.15,123
43,43,3,100,0.4136363636363636,0.15,12
