,RunId,iteration,Step,reproduce_prob,growback_factor,Average,Oscillation
0,0,0,100,0.0,0.15,47.46,0.0
1,1,0,100,0.0499999999999999,0.15,107.18,10.813782892334356
2,2,0,100,0.0999999999999999,0.15,93.84,20.67032896974883
3,3,0,100,0.15,0.15,99.4,20.70545743786964
4,4,0,100,0.1999999999999999,0.15,93.8,36.56124788759067
5,5,0,100,0.2499999999999999,0.15,95.96,52.69046777659732
6,6,0,100,0.3,0.15,85.86,53.540012355712825
7,7,0,16,0.3999999999999999,0.15,176.0625,100.36613579479292
8,8,0,100,0.35,0.15,86.46,81.56971532766728
9,9,0,15,0.4499999999999999,0.15,178.13333333333333,105.50929862237028
10,10,0,12,0.4999999999999999,0.15,226.25,113.78922980747
11,11,0,69,0.5499999999999999,0.15,85.08,70.65705166690891
12,12,0,100,0.6,0.15,90.2,68.7260436816668
13,13,1,100,0.0,0.15,45.62,0.0
14,14,1,100,0.0499999999999999,0.15,109.2,8.568600568848595
15,15,1,100,0.0999999999999999,0.15,102.7,13.681629452289505
16,16,1,100,0.15,0.15,95.0,21.65023789305086
17,17,1,100,0.1999999999999999,0.15,100.32,42.70029111248357
18,18,1,100,0.2499999999999999,0.15,81.14,61.28226986914123
19,19,1,100,0.3,0.15,97.88,37.74150958333725
20,20,1,14,0.3999999999999999,0.15,199.57142857142856,107.13474450062088
21,21,1,100,0.35,0.15,91.56,57.4113816526623
22,22,1,14,0.4999999999999999,0.15,195.14285714285717,111.76216355347287
23,23,1,14,0.5499999999999999,0.15,184.28571428571428,103.69222911919852
24,24,1,100,0.4499999999999999,0.15,75.56,79.03778727127728
25,25,1,14,0.6,0.15,187.5,107.1835986079088
26,26,2,100,0.0,0.15,46.06,0.0
27,27,2,100,0.0499999999999999,0.15,106.3,12.246568343186873
28,28,2,100,0.0999999999999999,0.15,101.22,11.28856792965889
29,29,2,100,0.15,0.15,97.24,19.542911483753656
30,30,2,100,0.1999999999999999,0.15,98.22,41.00617167769816
31,31,2,100,0.2499999999999999,0.15,95.16,49.811989584819365
32,32,2,100,0.3,0.15,86.64,62.46222013975646
33,33,2,16,0.3999999999999999,0.15,171.0,93.88263872842788
34,34,2,100,0.35,0.15,90.04,71.07600147969562
35,35,2,100,0.4499999999999999,0.15,77.62,58.00002788642354
36,36,2,53,0.4999999999999999,0.15,88.98,81.85371840830886
37,37,2,17,0.5499999999999999,0.15,165.35294117647058,134.649366326442
38,38,2,14,0.6,0.15,184.42857142857144,99.91860595742776
39,39,3,100,0.0,0.15,47.62,0.0
40,40,3,100,0.0499999999999999,0.15,104.96,5.777962714991439
41,41,3,100,0.0999999999999999,0.15,101.88,13.430384004985653
42,42,3,100,0.15,0.15,98.92,20.1685046914525
43,43,3,100,0.1999999999999999,0.15,97.88,33.10261912620912
44,44,3,100,0.2499999999999999,0.15,82.02,51.81902412025868
45,45,3,100,0.3,0.15,94.52,38.641547568570594
46,46,3,15,0.3999999999999999,0.15,176.6,92.34312907854586
47,47,3,100,0.35,0.15,97.62,43.54257898830173
48,48,3,16,0.4499999999999999,0.15,172.8125,89.81632600937591
49,49,3,100,0.5499999999999999,0.15,22.64,76.52759947980556
50,50,3,12,0.6,0.15,220.91666666666663,113.76669971870926
51,51,3,77,0.4999999999999999,0.15,85.76,80.54097016573382
52,52,4,100,0.0,0.15,41.0,0.0
53,53,4,100,0.0499999999999999,0.15,107.92,5.706343369815789
54,54,4,100,0.0999999999999999,0.15,103.84,17.342969779651447
55,55,4,100,0.15,0.15,95.32,20.787912709253945
56,56,4,100,0.1999999999999999,0.15,97.42,45.61536749696856
57,57,4,100,0.2499999999999999,0.15,91.72,43.39299685334514
58,58,4,100,0.3,0.15,92.04,66.29984307420048
59,59,4,14,0.3999999999999999,0.15,195.7142857142857,109.84697912222305
60,60,4,100,0.35,0.15,87.0,49.351318744689856
61,61,4,13,0.4999999999999999,0.15,201.07692307692307,104.06159100460374
62,62,4,100,0.4499999999999999,0.15,67.64,51.53055359570269
63,63,4,12,0.6,0.15,226.25,130.83282400646914
64,64,4,100,0.5499999999999999,0.15,84.48,72.36361461888508
65,65,5,100,0.0,0.15,45.72,0.0
66,66,5,100,0.0499999999999999,0.15,107.74,10.88847220422458
67,67,5,100,0.0999999999999999,0.15,99.78,12.136993694014738
68,68,5,100,0.1999999999999999,0.15,94.84,25.554769627212863
69,69,5,100,0.15,0.15,100.12,24.330612220152457
70,70,5,100,0.3,0.15,95.5,54.42537054316543
71,71,5,100,0.2499999999999999,0.15,93.06,47.43198325182076
72,72,5,15,0.3999999999999999,0.15,183.06666666666663,97.4334369118566
73,73,5,100,0.4499999999999999,0.15,67.68,66.00468516195141
74,74,5,100,0.35,0.15,88.4,72.80468651824589
75,75,5,14,0.4999999999999999,0.15,190.28571428571428,104.5648214072892
76,76,5,20,0.5499999999999999,0.15,138.5,111.84415708065735
77,77,5,12,0.6,0.15,225.08333333333331,125.88095671302716
78,78,6,100,0.0,0.15,47.98,0.0
79,79,6,100,0.0499999999999999,0.15,106.92,10.76423704694522
80,80,6,100,0.0999999999999999,0.15,102.16,16.231165114808594
81,81,6,100,0.15,0.15,90.52,25.334786396009907
82,82,6,100,0.1999999999999999,0.15,98.3,47.40572369532828
83,83,6,100,0.2499999999999999,0.15,98.14,49.02055040849927
84,84,6,100,0.3,0.15,89.2,50.61717339233604
85,85,6,100,0.35,0.15,77.26,65.95140799851661
86,86,6,100,0.3999999999999999,0.15,97.46,57.22029067605668
87,87,6,13,0.4999999999999999,0.15,202.07692307692307,113.71266344238056
88,88,6,54,0.4499999999999999,0.15,83.14,71.5265058805306
89,89,6,11,0.5499999999999999,0.15,248.8181818181818,136.89969389034263
90,90,6,13,0.6,0.15,212.53846153846155,133.0123830437799
91,91,7,100,0.0,0.15,47.92,0.0
92,92,7,100,0.0499999999999999,0.15,110.64,7.026648964100993
93,93,7,100,0.0999999999999999,0.15,98.76,20.51390953344272
94,94,7,100,0.15,0.15,98.64,26.395392960494185
95,95,7,100,0.1999999999999999,0.15,96.92,18.70070400081016
96,96,7,100,0.2499999999999999,0.15,91.32,40.93862135895103
97,97,7,100,0.3,0.15,96.44,34.56225982868584
98,98,7,100,0.35,0.15,82.12,62.91405567322841
99,99,7,18,0.4499999999999999,0.15,151.55555555555554,95.8087660266478
100,100,7,100,0.3999999999999999,0.15,69.32,64.73214482194506
101,101,7,15,0.4999999999999999,0.15,173.2,90.0482602230226
102,102,7,13,0.5499999999999999,0.15,202.6153846153846,109.26273634963906
103,103,8,100,0.0,0.15,48.16,0.0
104,104,7,71,0.6,0.15,84.64,78.86376100976183
105,105,8,100,0.0499999999999999,0.15,112.42,8.205153973893825
106,106,8,100,0.0999999999999999,0.15,105.28,13.046345993788965
107,107,8,100,0.15,0.15,98.86,20.239177375595546
108,108,8,100,0.1999999999999999,0.15,100.44,23.76237204636807
109,109,8,100,0.2499999999999999,0.15,94.6,48.51197011446608
110,110,8,100,0.3,0.15,96.62,46.83369791399476
111,111,8,100,0.3999999999999999,0.15,48.72,51.278759378053984
112,112,8,100,0.35,0.15,63.02,67.10818689092622
113,113,8,100,0.4499999999999999,0.15,80.96,66.08942899329894
114,114,8,80,0.4999999999999999,0.15,82.8,81.64053735936243
115,115,8,14,0.5499999999999999,0.15,187.0,102.73111585261276
116,116,8,50,0.6,0.15,95.64,89.34506060287299
117,117,9,100,0.0,0.15,44.76,0.0
118,118,9,100,0.0499999999999999,0.15,110.68,6.890862201148253
119,119,9,100,0.0999999999999999,0.15,102.62,20.783333881550902
120,120,9,100,0.15,0.15,93.88,31.33174188266212
121,121,9,100,0.1999999999999999,0.15,95.08,33.61625458481471
122,122,9,100,0.2499999999999999,0.15,94.14,38.43799158546747
123,123,9,100,0.3,0.15,76.56,58.16647102075428
124,124,9,100,0.35,0.15,83.46,63.53468692699789
125,125,9,100,0.3999999999999999,0.15,52.7,60.25176404465783
126,126,9,13,0.4999999999999999,0.15,213.30769230769232,119.66348521389318
127,127,9,11,0.5499999999999999,0.15,248.63636363636363,133.4995575343705
128,128,9,13,0.6,0.15,209.46153846153845,118.45426802152902
129,129,9,100,0.4499999999999999,0.15,85.66,62.619552651032514
130,130,10,100,0.0,0.15,43.1,0.0
131,131,10,100,0.0499999999999999,0.15,109.76,5.988214228745139
132,132,10,100,0.0999999999999999,0.15,100.86,15.133883899940864
133,133,10,100,0.15,0.15,94.38,26.038102980703776
134,134,10,100,0.1999999999999999,0.15,98.76,37.3739860537702
135,135,10,100,0.2499999999999999,0.15,94.08,52.18341163802264
136,136,10,100,0.3,0.15,90.8,60.44693522977453
137,137,10,100,0.35,0.15,87.82,58.045933157309925
138,138,10,14,0.4499999999999999,0.15,195.64285714285717,102.35211617927064
139,139,10,100,0.3999999999999999,0.15,83.0,58.36013275160438
140,140,10,13,0.5499999999999999,0.15,216.30769230769232,124.15663425381962
141,141,10,45,0.6,0.15,105.77777777777776,92.0235727884188
142,142,10,96,0.4999999999999999,0.15,84.12,87.8012036391834
143,143,11,100,0.0,0.15,43.44,0.0
144,144,11,100,0.0499999999999999,0.15,106.32,7.22674724392975
145,145,11,100,0.0999999999999999,0.15,103.0,12.162286696106
146,146,11,100,0.15,0.15,88.72,21.89566633280511
147,147,11,100,0.1999999999999999,0.15,98.08,25.11564897401784
148,148,11,100,0.2499999999999999,0.15,89.68,48.144896077542505
149,149,11,100,0.3,0.15,90.86,49.60046705237729
150,150,11,100,0.35,0.15,88.66,68.87219275742841
151,151,11,15,0.4499999999999999,0.15,176.26666666666668,110.1535846321597
152,152,11,100,0.3999999999999999,0.15,86.7,79.77849488486378
153,153,11,56,0.4999999999999999,0.15,66.6,72.90092257468773
